** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,4
town.txt,451617,10000,21
large-town.txt,2255053,50000,68
city.txt,4511688,100000,93
large-city.txt,22554540,500000,610
metropolis.txt,45107513,1000000,1407
capital.txt,90209834,2000000,3036
megalopolis.txt,227564229,5000000,6968
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,9
large-town.txt,2255053,50000,43
city.txt,4511688,100000,99
large-city.txt,22554540,500000,458
metropolis.txt,45107513,1000000,883
capital.txt,90209834,2000000,1750
megalopolis.txt,227564229,5000000,4399
